pickup_longitude pickup_latitude dropoff_longitude dropoff_latitude passenger_count
-73.9531 40.77158 -73.99374 40.7319 1
-73.96046 40.76582 -73.97124 40.75048 1
-73.98614 40.73078 -73.97196 40.74949 1
-73.96732 40.78824 -74.0004 40.7585 1
-73.94794 40.77467 -73.98892 40.74604 1
-73.97253 40.7561 -73.98386 40.74332 2
-73.99145 40.74984 -73.97879 40.74116 1
-73.9948 40.7454 -73.98147 40.75045 1
-73.99961 40.73894 -73.99929 40.73193 1
-74.00299 40.73016 -74.01387 40.71542 1
-73.96962 40.75621 -73.97238 40.76217 1
-73.97955 40.7545 -73.96498 40.77547 1
-73.97921 40.76402 -73.9776 40.7538 2
-73.96617 40.75361 -73.97 40.75671 2
-74.00262 40.73966 -73.98321 40.76622 1
-73.97188 40.78632 -73.95504 40.76545 1
-73.97828 40.76305 -73.98273 40.76915 1
-73.9588 40.77504 -73.96034 40.76957 1
-73.95631 40.76336 -73.94492 40.77888 1
-73.94376 40.7778 -73.86529 40.77067 1
-73.99307 40.75493 -74.00166 40.75645 1
-73.98161 40.77948 -73.97931 40.76197 1
-73.95272 40.79846 -73.96143 40.80439 1
-73.98895 40.73662 -73.98235 40.74543 1
-73.97083 40.75819 -73.94478 40.77906 2
-73.97708 40.7531 -73.98891 40.74141 1
-74.00452 40.74788 -74.00668 40.73059 1
-73.96902 40.75398 -73.98549 40.75771 1
-73.98891 40.69272 -74.00925 40.72472 1
-74.00027 40.7466 -74.0035 40.74115 1
-73.98802 40.75996 -73.97586 40.75368 1
-73.96204 40.77651 -73.95292 40.78876 3
-73.97841 40.74514 -73.97035 40.75616 1
-73.95373 40.76693 -73.96965 40.74876 1
-73.96033 40.76191 -73.96951 40.76609 2
-74.00351 40.71359 -74.01109 40.71339 2
-73.97281 40.75531 -73.99097 40.75042 1
-74.00786 40.73883 -73.99232 40.72572 1
-73.9473 40.78439 -73.98218 40.76843 2
-73.98917 40.74857 -73.98112 40.75884 1
-73.94675 40.78419 -73.93923 40.80455 1
-73.98295 40.75079 -73.97638 40.73991 1
-73.97661 40.77542 -73.98958 40.75696 1
-73.97128 40.79778 -73.98965 40.76205 1
-73.99081 40.73144 -73.99377 40.74966 2
-73.9649 40.75577 -73.96471 40.76405 1
-73.95301 40.79168 -73.97143 40.79507 1
-74.00063 40.75786 -73.99232 40.74501 1
-73.97523 40.74146 -73.98745 40.73908 1
-73.96354 40.76602 -73.97411 40.76363 1
-73.95952 40.76715 -73.96251 40.76658 1
-73.95246 40.76654 -73.97502 40.75522 1
-73.98962 40.71906 -73.98553 40.74419 1
-73.99731 40.68424 -74.00012 40.72541 1
-73.97491 40.78762 -73.96247 40.76883 1
-73.97678 40.77502 -73.95707 40.77106 1
-73.98817 40.72369 -73.97495 40.74688 1
-73.98262 40.77156 -73.98442 40.7544 2
-73.99149 40.7317 -74.0063 40.7235 1
-73.98055 40.75366 -74.01153 40.70322 2
-73.94801 40.80451 -73.94181 40.79847 1
-73.96354 40.75767 -73.86572 40.77101 1
-74.012 40.70734 -74.00835 40.70465 1
-73.9901 40.7561 -73.98148 40.75556 1
-73.97287 40.78585 -73.97976 40.78448 1
-73.97157 40.74936 -73.94389 40.78538 1
-73.95229 40.7874 -73.95776 40.78373 1
-74.00835 40.71452 -74.00721 40.72679 2
-73.96086 40.7724 -73.98637 40.75618 1
-74.00386 40.75309 -73.99075 40.7396 1
-74.00718 40.73421 -74.00538 40.74084 1
-74.0027 40.76044 -73.98687 40.76573 1
-73.98718 40.76615 -73.99323 40.75509 1
-73.97675 40.756 -73.97213 40.76343 1
-73.96153 40.77455 -73.96806 40.76547 1
-73.977 40.75269 -73.98289 40.75052 1
-73.96871 40.76733 -73.98219 40.75661 1
-73.98964 40.75735 -73.98755 40.7687 1
-74.00352 40.73861 -73.98978 40.76965 1
-73.96633 40.76129 -73.95692 40.77237 1
-73.98862 40.7501 -73.9984 40.7558 1
-73.96803 40.80235 -73.96119 40.79631 1
-73.99661 40.73779 -73.99418 40.72836 1
-73.99751 40.73634 -73.99116 40.75025 2
-73.97186 40.75033 -73.97186 40.75033 1
-73.95536 40.77355 -73.95012 40.77615 2
-73.95676 40.7752 -73.95405 40.76863 1
-73.95364 40.78516 -73.97829 40.75517 1
-73.98095 40.74773 -73.99053 40.74537 1
-73.96435 40.75619 -73.95989 40.77349 1
